Review,Date Posted
conya They never time one Im waiting 19:50 got 19:40 left scheduled time crap show,2024-01-02
"Worst transport Ireland This service great example anything made built Irish. Doesnt work properly, always late, zero information things happen also completely ignorant problems acting never happen. I get 5 times week. I get anywhere 9am-5pm Dublin anywhere 5pm-3:30am. Out 5 times week two rides late 80-90% time. The rest 10% doesnt show zero explanation. Its actually extremely rare services run smoothly Ive taking service 3 years every week consistently never good. I feel sorry drivers arent bad bar few. But deal poo transport system, poo vehicles, poo government update anything pockets. No one customers read this. But someone reads title fix issue get ass fix something could done couple weeks rather lining pockets money poorer less fortunate people.",2024-01-03
"Has worst transport service Has worst transport service ever! running hour late. And exiting Dublin Airport, extremely busy. The driver decides go another spin airport adding another 30mins least journey. joke business. Is want run service ground, give reason private company take over?",2023-12-29
"The unreliable service No unsure arrive, arrive always late telling drivers drive people waiting late. Not mention buses go full intended route well drivers unnecessarily mean.",2023-12-11
"So useless So useless. The times schedules difficult predict Irish weather! Standing 401 stop Parnell Avenue Galway, missed 3 scheduled departures . You'd quicker walking.",2023-12-09
"service worst service worst, slowest , 2h journey Wicklow Dublin drivers mean, impolite unhelpful. Im now, I asked driver turn lights early morning dark asked well put heating, none it, gave raised voice me.",2023-12-08
Cant even get student ticket peace Just drove 6 oclock westport castlebar take work 16 usually take student ticket 15 child tickets started working go often meant get student tickets drives westport. I got time drivers often started going ruder got. I know drivers never got told bring student ID last times. 1 times driver extremely rude bought online ticket coming back castlebar started telling age need bring ID make wait next proceeds ticket didnt work. Took attempts told people tend cancel tickets like trying scam way through. I finally got today. Something like happened morning driver aggressively telling student ive drove many multiple times before. This morning thing happened got eye rolls even though accepted fact straight away dont student ID me. He spoke like pet like argued 30 mins didnt usually thank drivers tried trick buying single adult ticket told need return ticket like im cheapscate doesnt money assumed sobus fix drivers attitude respected many times driven buses respect yes wrre playing rules rude unnecessary way,2023-12-27
"Dear God... Dear God, company undisputed, absolutely peerless soul crushingly terrible, utterly indifferent hopelessly incompetent ""service"". This 245 route Cork every hour routinely even bother showing up. Waiting 2 HOURS plainly mind numbing. I looong day I get car longer need despair life. The government really needs remove commission public transport country. I could get actual chimpanzees zoo train better job running transport service. A horrifying experience. -245 stars",2023-11-15
"ireann means ireann means testing one's patience mode transportation. Busses cancelled ALL THE TIME. yes 220 . Today, due 17:15 arrive 18:00 painfully slow inefficient. Half time Midway journey I'll hoofed onto another NO EXPLANATION!!!!!!! GET YOUR S* IT TOGETHERRRRRRR",2023-10-27
Drivers drive past even Drivers drive past even buses full,2024-01-06
"High fares unreliable services101 Service Dublin Drogheda started using smaller capacity single decker taking peak times always full unless taking station. The seats uncomfortable. One Fridays, raining I waiting take 101, first app never correct timings, came 5 mins later time shown app. It even stop swords drove past stop. The next came 30 mins, already full. I managed get aisle seat literally room. I usually keep bag lap, room keep there. It kept falling girl beside also uncomfortable. Don't understand huge luggage racks front commuters like daily work/school/college commuters. Literally one I know uses 101 go airport flying somewhere. Now 100x whole another story. Although reach city/airport quite quickly manage get peak times, hourly service ridiculous fares. 10.50 one way Drogheda Dublin Airport, less 25 min ride! You fly somewhere Europe much cheaper amount spend Expressway buses. Public transports affordable!",2023-11-17
"Just went 115 dublin Just went 115 dublin mullingar heuston 18:50 welcomed driver legs spread chair thats all, going maynooth university change plans get groceries went uni tried leave stop beside train station screamed told sit said ever sees would refuse service atrocious language behaviour wanting get earlier stop. Not consistently cancelled delayed buses also extremely rude drivers. I take weekly never problem wanted leave earlier not. Terrible company another faster would take day terrible ass .",2023-12-04
"drivers heartless reckless drivers wicked human beings surface earth planet human beings. The buses irregular, either coming early late. When early, dont wait set time supposed stop see pulling running waving down, pull drive past cold rain. How heartless human be? This constant occurrence 101 X Dublin Drogheda especially close work 4.30pm 5.30pm. They rather drive away empty wait minute 2 real time get enough passengers, cruel behaviour I seen entire life. They dont deserve star all.",2023-11-27
"Worst service Worst service, cancels like 2-3 consecutive buses making fools people who's standing 4th obviously would full wont stop busstop.",2023-12-01
"Service Ireland West Airport Service Ireland West Airport Galway hour late. Absolutely shelter anything big crowd people left without info , freezing cold. Unfortunately unusual . Disgraceful national service!!",2023-11-03
"Cancelled without replacement Joke company, cancelled last minute without replacement completely destroyed plans Sunday many buses running today",2023-11-19
"Oleg Rakuts 109 AI want say big thank one driver's Oleg Rakuts 109 A route. He rang Saturday morning say found son's phone. He asked live I told live Ratoath suggested instead us driving depot Kells, told us time he'll traveling Ratoath night 109 A route son able meet stop handed phone back safe sound. What kind, honest helpful member staff have. The 109 A route excellent service Oleg credit you. Could forward message manager please? Thanks Oleg happy Christmas",2023-12-09
