Review,Date Posted
conyaThey are never on time for one and Im here waiting for a  that should be here at 19:50 and it got here at 19:40 and left which is not its scheduled time this  is a crap show,2024-01-02
"Worst transport in IrelandThis  service is a great example of anything made or built by the Irish. Doesn’t work properly, always late, zero information on why these things happen also and completely ignorant of these problems acting as if they never happen. I get the  5 times a week. I get this  anywhere from 9am-5pm to Dublin and anywhere from 5pm-3:30am. Out of the 5 times a week two  rides the  is late 80-90% of the time. The rest of the 10% it doesn’t show up with zero explanation. It’s actually extremely rare that these  services run smoothly I’ve been taking a   service for 3 years every week consistently and never has it been good. I feel sorry for the drivers as they aren’t all bad bar a few. But they have to deal with a poo transport system, poo vehicles, and a poo government that will not update anything but their own pockets. No one but customers will read this. But if someone reads this that has any title to fix these issue how about you get up off your ass and fix something that could be done in a couple of weeks rather than lining your own pockets with the money of poorer less fortunate people.",2024-01-03
"Has to be the worst transport service…Has to be the worst transport service ever! running an hour late.And then after exiting Dublin Airport, which is extremely busy.The driver decides to go for another spin into the airport adding another 30mins at least to the journey.  is a joke of a business.Is it that they want to run this service into the ground, to give reason for a private company to take over?",2023-12-29
"The most unreliable serviceNo only are we unsure if the  will arrive, if it does arrive it's always late and now   are telling drivers to drive by people waiting if the  is late. Not to mention the buses don't go the full intended route as well as some drivers being unnecessarily mean.",2023-12-11
"So uselessSo useless. The  times and schedules are more difficult to predict than the Irish weather! Standing at the 401  stop at Parnell Avenue in Galway, missed 3 scheduled departures because there was no . You'd be quicker walking.",2023-12-09
"  service is the worstBus  service is the worst, it’s the slowest , 2h journey from Wicklow to Dublin and the drivers are mean, impolite and unhelpful. I’m on the  now, I asked the driver to turn off the lights in the  as it’s early in the morning and it’s dark and asked him as well to put the heating, he did none of it, gave out to me and raised his voice on me.",2023-12-08
Cant even get a student ticket in peaceJust drove a 6 oclock  to westport from castlebar i had to take for work i am 16 so usually i take student ticket and when i was 15 child tickets but when i started working i had to go often which meant i had to get student tickets and   is the only  that drives to westport. I got this  all the time from the same  drivers and the more often i started going the ruder they got. I know the  drivers and never got told to bring a student ID until the last few times. 1 of the times the  driver was extremely rude when i bought an online ticket coming back to castlebar he started telling me i am not this age and i need to bring ID and was about to make me wait until the next  then he proceeds to  the ticket into his  and it didnt work. Took a few attempts until he told me that people tend to cancel these tickets like i was trying to scam my way through. I finally got on then today. Something like that happened in the morning before where the  driver was aggressively telling me that i am not a student when ive drove with him so many multiple times before. This morning same thing happened when i got eye rolls even though i accepted the fact straight away that i dont have a student ID on me. He spoke to me like i was some pet like i argued with him for 30 mins about it which i didnt i usually thank the  drivers too he then tried to trick me into buying a single adult ticket when i told him that i need a return ticket like im some cheapscate that doesnt have any money and assumed it sobus  fix up your drivers attitude if i respected them the many times i have driven the buses they should respect me too and yes they wrre playing by the rules but in a very rude unnecessary way,2023-12-27
"Dear God...Dear God, this company is undisputed, absolutely peerless in soul crushingly terrible, utterly indifferent hopelessly incompetent ""service"". This 245 route to Cork is once every hour and they routinely just don't even bother showing up. Waiting 2 HOURS for a  is just plainly mind numbing. I looong for the day I get my car and no longer need this despair in my life. The government really needs to remove their commission for public transport in this country. I could get actual chimpanzees from the zoo to train up and do a better job at running a transport service. A horrifying experience. -245 stars from m",2023-11-15
" Éireann is more of a means of… Éireann is more of a means of testing one's patience than a mode of transportation. Busses cancelled ALL THE TIME. yes the 220 . Today, due at 17:15 didn't arrive until 18:00 and is painfully slow and inefficient. Half the time Midway through the journey I'll be hoofed onto another  with NO EXPLANATION!!!!!!! GET YOUR S*IT TOGETHERRRRRRR",2023-10-27
Drivers drive past you even when the…Drivers drive past you even when the buses are not full,2024-01-06
"High fares for unreliable services101  Service from Dublin to Drogheda has started using smaller capacity single decker  which if you are taking at peak times will be always full unless you are taking it from the  station. The seats are uncomfortable. One of the Fridays, it was raining and I was waiting to take the 101, first of all the app is never correct on timings, the  came 5 mins later than the time shown on the app. It didn't even stop in swords and drove past the  stop. The next  came after 30 mins, which was already full. I managed to get an aisle seat but there is literally no room. I usually keep my bag on the lap, but there was no room to keep it there. It kept falling and the girl beside me was also uncomfortable. Don't understand why they have huge luggage racks up in the front when most commuters like me are daily work/school/college commuters. Literally no one I know uses 101 to go to the airport if they are flying somewhere. Now the 100x is whole another story. Although you can reach city/airport quite quickly if you manage to get on it at peak times, they only have  hourly service with ridiculous fares. 10.50 one way from Drogheda to Dublin Airport, for less than a 25 min ride! You can fly somewhere in Europe for much cheaper for the same amount you spend on Expressway buses. Public transports should be affordable!",2023-11-17
"Just went on the 115  from dublin to…Just went on the 115  from dublin to mullingar from heuston at 18:50  and was welcomed to the  driver having his legs spread at the chair… that’s not all, i was going to maynooth university but had a change a plans and had to get groceries before i went to the uni and tried to leave at the stop beside the train station only to be screamed at and told to sit down and he said if he ever sees me again that he would refuse service to me… atrocious language and behaviour for wanting to get off an earlier stop…. Not only this  has consistently cancelled and delayed buses they also have extremely rude  drivers. I take this  weekly and has never been a problem if i wanted to leave earlier or not. Terrible  company and if there was another faster  i would take that any other day over this terrible ass .",2023-12-04
"  drivers are heartless and recklessBus  drivers are the most wicked human beings on the surface of the earth and on any other planet that has human beings. The buses are so irregular, either they are coming too early or too late. When they are early, they don’t wait for the set time they are supposed to be at any  stop and when you see them just pulling out and you are running and waving them down, they pull out and drive past you in the cold and rain. How heartless can a human being be? This is a constant occurrence on the 101X from Dublin to Drogheda especially at the close of work between 4.30pm and 5.30pm. They rather drive away with an empty  than wait a minute or 2 for the real time to get enough passengers, this is the most cruel behaviour I have seen in my entire life. They don’t deserve any star at all.",2023-11-27
"Worst serviceWorst service, cancels like 2-3 consecutive buses making fools out of people who's standing and then the 4th  obviously would be full and wont stop at the busstop.",2023-12-01
"Service from Ireland West Airport to…Service from Ireland West Airport to Galway was an hour late. Absolutely no shelter or anything to do and a big crowd if people just left without any info , freezing cold.Unfortunately this is not unusual for  . Disgraceful for a national service!!",2023-11-03
"Cancelled  without any replacementJoke of a company, cancelled  last minute without any replacement which completely destroyed our plans as it’s Sunday and there are not many buses running today",2023-11-19
"Oleg Rakuts 109AI want to say a big thank you to one of your driver's Oleg Rakuts on the 109A route. He rang me on Saturday morning to say he found my son's phone. He asked me where we live and when I told him we live in Ratoath he suggested instead of us driving to the depot in Kells, he told us what time he'll be traveling through Ratoath that night on the 109A route so my son was able to meet him at the  stop where he handed the phone back to him safe and sound. What a kind, honest and very helpful member of staff you have. The 109A route is an excellent service and Oleg is a credit to you. Could you forward this message to his manager please? Thanks again Oleg and happy Christmas 🎄🎅",2023-12-09
"Travelled from Cavan to Dublin airport…Travelled from Cavan to Dublin airport today on the 30  and a great experience.   arrived right on time 10.35 from Donegal, has never happened before as always late or dosent turn up. Wonderful driver named Dermot and a great personality   should clone.him.",2023-11-19
