Review,Date
"This service one worst This service one worst service. Always coming late 5 10 min late b accepted always 20 min. This 3rd time experienc. Not comfortable seat, Wi- Fi, even USB port. Always go flixbus national express.",2024-01-06
It's alright let u know It's alright let u know there's gonna seriously late delays u know still gonna come usb ports work cheap that's good thing I use least twice week time went past 12 o'clock tommrow pay 3.75 change date think that's absolute joke,2024-01-04
"Victoria - Manchester - Victoria Pros:- clean toilet water- okay seats- price Cons:- driver didnt announce anything. Not leaving Victoria (no welcome, even destination) nothing first stop either (how long, etc)- USB chargers work- seat pockets store water/snacks appeared worn/old. Maybe replacement mechanical problems ?",2023-12-26
"I used prefer everytime I used prefer everytime, charge reasonable prices tkt trip compare services. So everyone afford it. I hope long time.",2024-01-04
"Very efficient service Very efficient service, helpful friendly driver got home within good time schedule. I would definitely recommend although aware toilet board tiny, size 14 taller 5.6ft might struggle getting cubicle.",2023-12-30
"Very small space compounded recliner Overnight journey Overnight journey, passenger Infront fully reclined seat, back seat 15cm nose, can't use tray, can't even cross legs lack room, I 5 foot 4inches tall.",2024-01-06
"Disappointed occasion I use travel regular basis never issues. Sadly occasion I disappointed. The turned 25 mins late explanation given, knock effect rest journey. Because delay, I missed 2 ongoing trains destination. While I appreciate road travel drawbacks, lack communication driver unhelpful.",2023-12-27
"says tin says tin time table. Ease change Birmingham. Helpful driver, problem delays due traffic, anything behond megabues control, driver keeps informed. Only one thing drives nuts. Is inconsiderate fellow passengers spending long, long, long, time talking loudly phones.",2023-12-22
"Return trip @ London Victoria Return trip @ London Victoria Sinderland. Drivers warm, friendly stops helped stretch legs. However trip Sunderland London Victoria 28th December kinda stressful. Drivers stop passengers break stopped pick passengers. This improved.",2023-12-30
"It took find It took find coach terminus Heathrow (terminal 3). Probably would handy details , description map. But I got coach time driver professional. There covered stand Bristol, getting pouring rain would challenge. Luckily dry morning. Overall easy service use.",2023-12-30
"Christmas Travel I travelled 24th December, anxiety worry experience might be. I pleasantly surprised. It smooth journey. Driver staff professiomal treated passengers courtesy, respect smile. Very hel[ful bags, wheel chair, buggies. Thank",2023-12-24
"The journey ways excellent The journey ways excellent, drivers helpful polite! The lady driver good strong leader too, aware time moving on, requested; quite rightly everyone take seats! Fab service, I cannot praise drivers enough!",2023-12-23
"Long distance travel Warm, clean, comfortable . Despite mechanical issue, drivers great, kept us picture, moved heaven earth get us destination time. Highly recommend , regular convenient train, half price.",2023-12-29
"Late Arrival due Heavy Traffic/ Driver regulations The Sunderland time, maybe fifteen minutes late, return Newcastle lyme hour late shelter good preventing us getting soaked pouring rain. Due heavy traffic delayed another half hour Manchester. I accept cannot blamed traffic problems. But got Huddersfield, due regulations, driver couldnt leave another half hour, meant going two hours late arriving Sunderland. We rearrange taxi pick up. The good news ways travelled proper , could sit booked seats! The drivers good polite.",2023-12-27
"Driver lacks empathy- Birmingham- Nottingham I re-book return leg journey stop due mistake original booking. I difficulty buying new ticket phone needed use laptop instead. I asked driver swapping new driver, I could sit front use laptop told could let . He instead pointed opened luggage compartment side said I could sit there. When I finally got new ticket patronising sceptical. It unpleasant experience I submitted formal complaint.",2024-01-03
Ignorant driver Change driver unpleasant needs go customer service course. Almost decapitation friend & retrieving luggage he'd got bk & boot closed !!!,2023-12-22
"It ridiculous It ridiculous, 27/12/2023 journey scheduled 1 30pm 7:20 shudehill victoria london. We reached victoria 10pm something. 3 hours, understand traffic rd busy driver took additional 45mins break mentioned time booked . It tiring amd long journey. Never gonna use again. Also hate refunds even delayed late themselves. Don't recommend it.",2023-12-27
"Very dissatisfied. There toilet roll water toilet. Wee everwhere inside toilet. The journey delayed 3 hours returning journey I coach 1.30pm till 11pm. The driver patronising. When stop came, found bags moved back. I could get myself, driver onsite help, I waited ages another passenger helped get bags crawling baggage area. Very disappointed. Never travelling again.",2023-12-27
The journey comfortable The journey comfortable drive safe. However thing I felt uncomfortable cold AC first weather freezing. Also lights point arent necessary opinion daytime.,2024-01-02
"No refund case missing cancel travel I dislike fact person misses time get station, would leave nothing done refund paid fare. I lose 90 missing change time travel due reasons. But sometimes buses get station late apology that. The toilet buses always dirty smelling nobody cleans till end journey.",2023-12-24
"Toilet extremely dirty Toilet extremely dirty, flushing function, bad bad smell, people pissing floor. No driver care even reports complaints. Air conditioning insider cool. Driver seems open air conditioning level highest level. Other customers ask driver turn medium level. The driver seemed response customers request lower air conditioning inside . It bad experience take yr long journey . No next time take",2023-12-31
"AWFULlad sat behind phone strapped chair watch something, getting notifications constantly buzzing chair every five seconds whole 4 hour trip. need change wireless charger thing someone elses seat theyve paid for. also make sure people hygiene standards getting on, guy front us long greasy smelly hair bobble took five minutes journey smelt awful everyone around aswell disgusting body odour, whilst also elbowing lady next taking bobble hair. continued disgusting burped ladies face, absolutely stunk, followed constantly staring gap whole journey. never ride again. appalling!!.",2024-01-02
"Journey long Journey long, OK. On way back Traffic jams added 2hours needed extra half hour driver break, turned 11hour journey- fault I know, seats arent comfy distance. The worst light toilet, couldnt see flush wash hands, etc. driver wasnt interested made quip putting money meter. Sorry funny 9-11 hour journey cannot get use facilities. On board toilets need checked drivers personal. They need available use long journeys",2023-12-27
