Review,Date
"This bus service is one of the worst…This bus service is one of the worst service. Always coming late if it is 5 10 min late then it can b accepted but it’s always more than 20 min. This is my 3rd time experienc. Not comfortable seat, no Wi-Fi, even there is no USB port. Always go for flixbus or national express.",06 January 2024
"Victoria - Manchester - VictoriaPros:- clean toilet with water- okay seats- priceCons:- driver didn’t announce anything. Not leaving Victoria (no welcome, not even destination) and nothing on the first stop either (how long, where we were etc)- USB chargers did not work- no seat pockets to store water/snacksBus appeared worn/old. Maybe a replacement because of mechanical problems with an other bus?",26 December 2023
"Disappointed on this occasionI use Megabus to travel on a regular basis and have never had any issues. Sadly on this occasion I was disappointed. The bus turned up 25 mins late with no explanation given, this then had a knock on effect on the rest of the journey. Because of this delay, I missed 2 ongoing trains to my destination. While I do appreciate road travel has its drawbacks, the lack of communication by the driver was very unhelpful.",27 December 2023
It's alright but doesn't let u know…It's alright but doesn't let u know when there's gonna be seriously late delays so u don't know if your bus is still gonna come some have usb ports that work some don't its cheap so that's the good thing about it and I use these at least twice a week the time went past 12 o'clock and had it on for tommrow so had to pay 3.75 to change the date think that's an absolute joke,04 January 2024
"Megabus does what it says on the tin…Megabus does what it says on the tin with the time table. Ease of change over in Birmingham. Helpful driver, if there is a problem with delays due to traffic, or anything behond megabues control, the driver keeps you informed. Only one thing that drives me nuts. Is inconsiderate fellow passengers spending a long, long, long, time talking very loudly on their phones.",22 December 2023
"Very very small space compounded by a recliner Overnight journeyOvernight journey, passenger Infront has fully reclined their seat, the back of their seat is now only 15cm from my nose, can't use my tray, can't even cross my legs because of lack of room, I am only 5 foot 4inches tall.",06 January 2024
"Return trip @ London Victoria to…Return trip @ London Victoria to Sinderland. Drivers very warm, friendly and the stops helped to stretch our legs.However trip from Sunderland to London Victoria on the 28th December kinda stressful. Drivers didn't stop for passengers break only stopped to pick passengers. This should be improved.",30 December 2023
"I used to prefer megabus everytimeI used to prefer megabus everytime, because they charge reasonable prices on tkt on a trip compare to other bus services. So everyone can afford it. I hope it will be the same for long time.",04 January 2024
"Very efficient serviceVery efficient service, helpful and friendly driver got me home within good time just before schedule.I would definitely recommend although be aware that the toilet on board is tiny, if your more then a size 14 or taller than 5.6ft you might struggle getting in and out of the cubicle.",30 December 2023
Ignorant driverChange over driver was very unpleasant needs to go on a customer service course. Almost decapitation my friend & myself as we were retrieving our luggage he'd got bk on the bus & boot closed !!!,22 December 2023
"It took a while for me to find the…It took a while for me to find the coach terminus at Heathrow (terminal 3). Probably would be handy to have details on that from Megabus, such as a description or map. But once I got there the coach was on time and driver was professional. There is no covered stand in Bristol, so getting off the bus in the pouring rain would be a challenge. Luckily it was dry that morning. Overall an easy service to use.",30 December 2023
"The journey both ways was excellentThe journey both ways was excellent, the drivers were so helpful and polite!The lady driver was a good strong leader too, being aware of the time moving on, she requested; quite rightly for everyone to take their seats!Fab service, I cannot praise your drivers enough!",23 December 2023
"Late Arrival due to Heavy Traffic/Driver regulationsThe bus from Sunderland was on time, maybe fifteen minutes late, but on return from Newcastle under lyme the bus was just over an hour late and the bus shelter was not good at preventing us from getting soaked in the pouring rain.  Due to heavy traffic we were delayed another half hour into Manchester.  I accept that Megabus cannot be blamed for traffic problems.  But when we got to Huddersfield, due to regulations, the driver couldn’t leave for another half hour, which meant we were going to be two hours late in arriving in Sunderland.  We had to rearrange our taxi pick up.The good news is that both ways we travelled in a ‘proper’ Megabus, so we could sit in our booked seats!  The drivers were very good and polite.",27 December 2023
"Christmas TravelI travelled on the 24th December, with anxiety and worry on how and what my experience might be.I was pleasantly surprised. It was a smooth journey. Driver and all Megabus staff were professiomal and treated all passengers with courtesy, respect and smile. Very hel[ful with bags, wheel chair, and buggies. Thank you",24 December 2023
The journey was comfortable and the…The journey was comfortable and the drive was safe. However the only thing I felt uncomfortable was the cold AC at first as the weather was freezing. Also the lights at some point which aren’t necessary on my opinion to be on in the daytime.,02 January 2024
"No refund in the case of missing bus or having to cancel travelI dislike the fact that once a person misses his or her time to get to the bus station, the bus would leave and nothing will be done to refund your paid bus fare. I have lose up to £90 or more because of missing bus or having to change time of travel due to some reasons.But sometimes your buses do get to the station late and no apology for that.The toilet in your buses are always dirty and smelling because nobody cleans it up till the end of the journey.",24 December 2023
"Coach Nothing seems to matter .Coach was fine ,nice and clean. A nice warm cosy Coach, except  I  booked an paid for a reserved seat which was non existent. So I  paid for a service I  never received.  It was same on return  journey  I was told to sit anyplace.As I am disabled, I can't stand in ques  so can't get a descent seat I  require  hence I reserved seats which you totally  disregard.  Obviously, when you  use city link coaches ,it's a slight problem as seating rows are different.However your information sheets to your drivers should  acknowledge that fact seats have been reserved.  So I  paid out money and got nothing for itMegabucks reply was but while  that's OK for them I  have to wait in a queue now outside in the rain just to make sure I  get on the busMy back is such that it means I  have then got to travel in pain cos of needles standing.",02 January 2024
"Driver lacks empathy- Birmingham-NottinghamI had to re-book the return leg of my journey at the bus stop due to a mistake with the original booking. I was having difficulty buying the new ticket with my phone so needed to use my laptop instead. I asked the driver who was swapping over to the new driver, if I could just sit at the front to use my laptop and he told me he could not let me on the bus. He instead pointed at the opened luggage compartment at the side of the bus and said I could sit there. When I finally got a new ticket he was patronising and sceptical. It was a very unpleasant experience and I have submitted a formal complaint.",03 January 2024
"It was ridiculousIt was ridiculous, on 27/12/2023 our journey was scheduled for 1 30pm to 7:20 from shudehill to victoria london. We reached victoria at 10pm something. 3 hours, i understand it was traffic and rd were busy but driver took additional 45mins break which was not mentioned in the time when we booked bus. It was too tiring amd long journey. Never gonna use it again. Also hate that megabus don't do refunds even if they are delayed or late themselves. Don't recommend it.",27 December 2023
